"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 24, 2019","270.50","279.25","279.25","268.00","0.63K","-3.05%"
"Jun 21, 2019","279.00","284.00","286.75","275.25","0.78K","-1.67%"
"Jun 20, 2019","283.75","285.75","288.50","283.25","0.92K","-0.61%"
"Jun 19, 2019","285.50","294.25","297.50","285.00","1.37K","-4.03%"
"Jun 18, 2019","297.50","301.25","301.25","295.00","0.45K","0.00%"
"Jun 17, 2019","297.50","303.25","307.75","296.00","0.61K","-1.73%"
"Jun 14, 2019","302.75","304.75","312.75","300.25","0.64K","-0.57%"
"Jun 13, 2019","304.50","300.75","306.00","294.75","0.77K","1.33%"
"Jun 12, 2019","300.50","304.50","307.25","299.75","0.79K","-1.07%"
"Jun 11, 2019","303.75","297.50","305.50","293.50","0.58K","2.97%"
"Jun 10, 2019","295.00","296.00","296.50","291.75","0.82K","-0.34%"
"Jun 07, 2019","296.00","298.25","300.25","294.50","0.29K","-1.42%"
"Jun 06, 2019","300.25","291.00","301.75","290.00","0.56K","2.91%"
"Jun 05, 2019","291.75","304.00","304.00","291.00","0.86K","-4.03%"
"Jun 04, 2019","304.00","312.00","312.25","301.75","0.28K","-0.41%"
"Jun 03, 2019","305.25","317.00","319.00","304.25","0.82K","-2.94%"
"May 31, 2019","314.50","318.00","319.75","312.25","0.56K","-1.10%"
"May 30, 2019","318.00","314.50","320.75","313.25","0.46K","0.95%"
"May 29, 2019","315.00","316.50","325.00","306.75","0.69K","-0.55%"
"May 28, 2019","316.75","310.25","318.50","310.00","0.37K","2.67%"
"May 24, 2019","308.50","305.50","313.75","305.25","0.39K","1.31%"
"May 23, 2019","304.50","310.25","319.75","303.75","0.64K","-1.85%"
"May 22, 2019","310.25","313.00","322.75","309.00","1.45K","0.57%"
"May 21, 2019","308.50","297.25","309.00","296.50","0.69K","4.05%"
"May 20, 2019","296.50","293.00","298.00","292.00","0.28K","0.85%"
"May 17, 2019","294.00","297.00","298.00","293.25","0.34K","-0.08%"
"May 16, 2019","294.25","288.00","296.25","288.00","0.36K","2.26%"
"May 15, 2019","287.75","286.00","292.00","284.50","0.28K","6.57%"
"May 14, 2019","270.00","270.00","270.00","270.00","0.00K","-3.57%"
"May 13, 2019","280.00","281.70","282.00","274.80","-","-0.96%"
"May 10, 2019","282.70","279.20","285.70","279.20","-","-5.29%"
"May 09, 2019","298.50","298.75","298.75","298.75","0.00K","1.19%"
"May 08, 2019","295.00","295.00","295.00","294.50","0.00K","6.38%"
"May 07, 2019","277.30","275.10","277.40","271.70","-","-6.16%"
"May 06, 2019","295.50","298.00","298.00","291.50","0.01K","-1.91%"
"May 03, 2019","301.25","301.50","301.50","301.25","0.00K","1.18%"
"May 02, 2019","297.75","300.00","300.00","298.25","0.01K","-2.14%"
"May 01, 2019","304.25","310.00","311.75","301.50","0.03K","-0.25%"
"Apr 30, 2019","305.00","306.25","312.00","305.25","0.03K","-3.86%"
"Apr 29, 2019","317.25","310.00","320.00","310.00","0.29K","2.75%"
"Apr 26, 2019","308.75","300.00","310.00","299.75","0.34K","2.57%"
"Apr 25, 2019","301.00","298.00","302.25","298.00","0.33K","1.18%"
"Apr 24, 2019","297.50","293.00","302.00","293.00","0.25K","1.02%"
