Date,Price,Open,High,Low,Vol.,Change %,direction
2016-08-17,426.25,423.38,428.38,419.75,,0.006500000000000001,1
2016-08-16,423.5,420.88,427.88,414.88,,0.0021,1
2016-08-15,422.62,422.0,430.0,417.25,,0.0,0
2016-08-12,422.62,416.12,422.62,406.62,,0.0159,1
2016-08-11,416.0,420.5,423.88,413.75,,-0.012199999999999999,-1
2016-08-10,421.12,415.88,427.5,415.5,,0.0111,1
2016-08-09,416.5,415.75,419.25,411.75,,-0.0012,-1
2016-08-08,417.0,419.5,423.5,411.75,,0.0039000000000000003,1
2016-08-05,415.38,404.0,418.5,404.0,,0.0275,1
2016-08-04,404.25,411.12,416.12,403.75,,-0.013999999999999999,-1
2016-08-03,410.0,402.75,415.0,401.25,,0.0231,1
2016-08-02,400.75,405.75,410.5,399.38,,-0.0148,-1
2016-08-01,406.75,407.75,415.5,406.75,,-0.0012,-1
2016-07-29,407.25,411.12,412.75,403.75,,-0.0046,-1
2016-07-28,409.12,415.38,420.0,408.5,,-0.014199999999999999,-1
2016-07-27,415.0,415.62,421.0,414.25,,0.0003,1
2016-07-26,414.88,425.38,429.25,414.25,,-0.034,-1
2016-07-25,429.5,428.25,435.25,421.25,,0.0079,1
2016-07-22,426.12,418.38,426.88,407.25,,0.018799999999999997,1
2016-07-21,418.25,413.5,419.75,409.0,,0.013300000000000001,1
2016-07-20,412.75,418.25,423.75,406.75,,-0.0137,-1
2016-07-19,418.5,427.5,428.25,416.5,,-0.0273,-1
2016-07-18,430.25,427.75,431.75,420.62,,0.011200000000000002,1
2016-07-15,425.5,434.75,439.75,425.5,,-0.019,-1
2016-07-14,433.75,442.38,448.0,431.38,,-0.016399999999999998,-1
2016-07-13,441.0,439.38,451.5,437.0,,0.008,1
2016-07-12,437.5,431.0,439.25,424.0,,0.015700000000000002,1
2016-07-11,430.75,437.0,441.88,426.75,,-0.0109,-1
2016-07-08,435.5,427.25,439.5,424.0,,0.0232,1
2016-07-07,425.62,430.38,438.75,424.5,,-0.009000000000000001,-1
2016-07-06,429.5,432.0,434.0,421.25,,-0.0046,-1
2016-07-05,431.5,431.25,432.5,416.0,,0.002,1
